ID,Name,Day,X,Y
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,78,0.825739495221987,0.6552547887716109
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,79,0.8178091847679965,0.6474493655505347
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,80,0.809878874314006,0.6396439423294584
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,81,0.73067893237899,0.5616912481097267
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,82,0.7227486219249994,0.5538858248886505
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,83,0.7148183114710089,0.5460804016675742
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,84,0.7068880010170184,0.538274978446498
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,85,0.6989576905630279,0.5304695552254217
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,86,0.6910273801090374,0.5226641320043455
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,87,0.6830970696550469,0.5148587087832692
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,88,0.6751667592010564,0.507053285562193
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,89,0.6672364487470659,0.49924786234111673
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,90,0.6593061382930754,0.4914424391200405
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,91,0.6513758278390849,0.48363701589896424
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,92,0.6434455173850944,0.475831592677888
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,93,0.6355152069311039,0.46802616945681175
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,94,0.628837387329427,0.46149563858604226
